Player Name,Team,Region,Circuit,Agents,Rounds,Rating,ACS,K:D,ADR,KAST,KPR,APR,FKPR,FDPR,Player ID
Zayce,XLB,all,global,"neon, raze, jett",362,1.30,267.1,1.41,162.0,77%,0.96,0.20,0.18,0.10,56432
something,PRX,all,"global,vct-pacific","jett, yoru, brimstone",543,1.29,245.6,1.50,160.8,77%,0.89,0.21,0.17,0.09,17086
KADIRI,YJ,all,global,"chamber, cypher, killjoy",636,1.29,260.1,1.46,169.1,77%,0.94,0.13,0.18,0.09,43125
vo0kashu,DRG,all,global,"cypher, viper, vyse",338,1.28,235.1,1.28,159.4,77%,0.83,0.29,0.08,0.05,3741
Seoldam,RID,all,global,"neon, jett",228,1.28,278.9,1.34,171.1,72%,0.94,0.20,0.21,0.14,10584
deviceHP,1TAP,all,global,"neon, raze, omen",322,1.27,287.2,1.28,189.0,78%,0.99,0.29,0.20,0.10,56062
t3xture,GEN,all,"global,vct-pacific","chamber, raze, phoenix",425,1.26,261.5,1.41,161.1,72%,0.95,0.14,0.17,0.11,9196
Neon,LEV,vct,"global,vct-americas","chamber, omen, brimstone",543,1.25,226.6,1.45,147.1,77%,0.83,0.27,0.13,0.09,29243
Kassielsy,,all,global,"killjoy, waylay, phoenix",362,1.25,247.9,1.40,162.1,76%,0.91,0.18,0.14,0.11,56679
brawk,NRG,vct,"global,vct-americas","sova, deadlock, vyse",489,1.24,225.4,1.28,146.5,79%,0.77,0.41,0.07,0.04,2172
primmie,FS,vct,"global,vct-pacific","phoenix, waylay, raze",442,1.24,265.4,1.31,166.7,74%,0.92,0.23,0.20,0.14,25255
Meiy,DFM,all,"global,vct-pacific","raze, jett, neon",317,1.24,256.1,1.28,157.2,72%,0.92,0.14,0.19,0.12,6672
sonofcar,NW,all,global,"neon, jett, chamber",937,1.24,272.2,1.31,176.8,73%,0.94,0.20,0.20,0.17,29074
marteen,M8,all,"global,vct-emea","veto, raze, phoenix",291,1.22,249.0,1.24,168.1,74%,0.86,0.26,0.10,0.12,10307
Fizzy,SGE,all,global,"omen, brimstone, astra",304,1.22,201.5,1.36,126.0,80%,0.73,0.42,0.07,0.04,7660
oroni,BJK,all,global,"tejo, vyse, neon",432,1.22,233.2,1.26,155.1,75%,0.85,0.20,0.14,0.08,52965
Bonobo,OG,all,global,"skye, phoenix, cypher",745,1.22,231.0,1.24,151.4,79%,0.82,0.40,0.08,0.08,36747
jduh,GX.GC,gc,"gc,global","omen, brimstone, astra",670,1.22,213.8,1.27,139.6,78%,0.78,0.44,0.05,0.06,17332
dodonut,SRG,all,global,"neon, jett, raze",523,1.22,252.2,1.26,166.0,75%,0.89,0.19,0.20,0.15,9185
MONSTEERR,SGE,all,global,"viper, cypher, killjoy",304,1.22,237.5,1.38,157.9,76%,0.86,0.24,0.10,0.09,3127
Less,KRÜ,vct,"global,vct-americas","viper, cypher",335,1.21,237.4,1.35,155.6,72%,0.86,0.24,0.12,0.09,8447
kozzy,EP,all,global,"neon, waylay, jett",402,1.21,259.1,1.35,166.3,78%,0.95,0.17,0.20,0.14,55681
Kachoww,S2G,all,global,"neon, phoenix, waylay",535,1.21,261.8,1.31,173.3,75%,0.93,0.25,0.19,0.14,58496
Boni,M80,all,global,"jett, neon, raze",348,1.21,255.5,1.29,160.3,77%,0.91,0.26,0.25,0.15,24553
Ruxic,NAVI,vct,"global,vct-emea","astra, omen, brimstone",281,1.20,228.8,1.23,148.0,75%,0.81,0.38,0.09,0.06,18677
kubfu,LP,all,global,"phoenix, astra, killjoy",254,1.20,236.4,1.23,155.7,74%,0.83,0.21,0.11,0.09,36402
NiSMO,M80,all,global,"kayo, omen, deadlock",348,1.20,230.2,1.21,147.6,76%,0.78,0.54,0.08,0.08,4828
Hinataa,SNX.F,all,global,"neon, jett",214,1.20,227.0,1.32,147.6,77%,0.88,0.20,0.14,0.15,19715
slowly,TYL,all,global,"omen, brimstone, astra",259,1.20,197.3,1.03,137.8,70%,0.70,0.29,0.06,0.04,41739
Kadoom,SP,all,global,"raze, neon, jett",320,1.20,257.8,1.30,163.8,76%,0.88,0.22,0.19,0.22,12098
Jemkin,RRQ,vct,"global,vct-pacific","waylay, raze, killjoy",469,1.19,226.0,1.30,146.4,71%,0.83,0.16,0.16,0.14,24895
melya,100T,all,global,"viper, killjoy, cypher",507,1.19,229.7,1.29,152.0,74%,0.87,0.27,0.09,0.09,19556
endoist,XGOD,all,global,"jett, raze, neon",482,1.19,262.3,1.27,168.7,73%,0.92,0.22,0.16,0.15,41694
AsianVyn,Kind,all,global,"neon, kayo, fade",431,1.19,239.0,1.29,152.1,73%,0.86,0.23,0.13,0.10,40759
niekk,EVE,all,global,"viper, harbor, omen",225,1.19,227.5,1.22,136.7,73%,0.80,0.36,0.09,0.08,51429
bucute,FCY,all,global,"omen, chamber, viper",396,1.19,222.4,1.25,149.3,77%,0.80,0.35,0.13,0.13,48575
GSR,TLA,all,global,"chamber, phoenix, vyse",530,1.19,243.6,1.23,162.7,77%,0.85,0.27,0.13,0.09,50813
none,BDA,all,global,"omen, tejo, waylay",228,1.19,251.1,1.18,164.0,70%,0.85,0.25,0.16,0.15,33177
keiko,NRG,all,"global,vct-americas","killjoy, omen, jett",738,1.18,232.8,1.22,153.3,73%,0.83,0.31,0.12,0.09,11494
Jinggg,PRX,vct,"global,vct-pacific","raze, phoenix, omen",564,1.18,239.6,1.25,155.9,77%,0.84,0.31,0.13,0.09,7378
Luid,MIBR.AC,all,global,"phoenix, raze, jett",240,1.18,250.9,1.24,156.9,75%,0.88,0.23,0.21,0.13,32802
